Part,Value,Device,Package,Description
C1,1u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C2,1u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C3,1u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C4,1u,CPOL-EUE2-5,E2-5,"POLARIZED CAPACITOR, European symbol"
C5,100n,C-EU050-025X075,C050-025X075,"CAPACITOR, European symbol"
IC1,74HC14N,74HC14N,DIL14,Hex schmitt trigger INVERTER
R1,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R2,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R3,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R4,10k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R5,22k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R6,22k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R7,22k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
R8,22k,R-EU_0207/10,0207/10,"RESISTOR, European symbol"
S1,,10-XX,B3F-10XX,OMRON SWITCH
S2,,10-XX,B3F-10XX,OMRON SWITCH
S3,,10-XX,B3F-10XX,OMRON SWITCH
S4,,10-XX,B3F-10XX,OMRON SWITCH
X1,Out,ML6D,ML-6,
X2,Out,ML6D,ML-6,
